timestamp;rssi1;rssi2;rssi3;rssi4;rssi5;rssi6;rssi7;rssi8
21:14:07.656;-36;-55.5;-80;-80;-80;-80;-80;-80
21:14:07.906;-36.5;-80;-59;-80;-80;-80;-80;-80
21:14:08.156;-34;-54.5;-80;-80;-80;-80;-80;-80
21:14:08.453;-33.5;-56;-80;-80;-80;-80;-80;-80
21:14:08.656;-36;-56.5;-80;-80;-80;-80;-80;-80
21:14:08.921;-36.5;-59;-80;-80;-80;-80;-80;-80
21:14:09.171;-33.5;-55;-80;-80;-80;-80;-80;-80
21:14:09.406;-34;-53.5;-80;-80;-80;-80;-80;-80
21:14:09.656;-34;-56.5;-80;-80;-80;-80;-80;-80
21:14:09.906;-34;-55.5;-80;-80;-80;-80;-80;-80
21:14:10.156;-36;-60.5;-80;-80;-80;-80;-80;-80
21:14:10.421;-36;-54;-80;-80;-80;-80;-80;-80
21:14:10.671;-36.5;-55.5;-80;-80;-80;-80;-80;-80
21:14:11.171;-36.5;-57.5;-80;-80;-80;-80;-80;-80
21:14:11.421;-36;-56.5;-80;-80;-80;-80;-80;-80
21:14:11.656;-33.5;-58;-80;-80;-80;-80;-80;-80
21:14:12.156;-34;-58;-80;-80;-80;-80;-80;-80
21:14:12.406;-34;-80;-80;-80;-80;-80;-80;-80
21:14:12.656;-36;-57;-80;-80;-80;-80;-80;-80
21:14:12.906;-36;-55.5;-80;-80;-80;-80;-80;-80
21:14:13.171;-34;-57;-80;-80;-80;-80;-80;-80
21:14:13.437;-36;-54;-80;-80;-80;-80;-80;-80
21:14:13.656;-36.5;-55;-80;-80;-80;-80;-80;-80
21:14:13.906;-33.5;-58.5;-59.5;-80;-80;-80;-80;-80
21:14:14.156;-36;-55.5;-80;-80;-80;-80;-80;-80
21:14:14.656;-36.5;-58;-80;-80;-80;-80;-80;-80
21:14:15.406;-36;-80;-80;-80;-80;-80;-80;-80
21:14:15.656;-36;-55;-80;-80;-80;-80;-80;-80
21:14:15.906;-36.5;-54.5;-80;-80;-80;-80;-80;-80
21:14:16.156;-36;-56.5;-80;-80;-80;-80;-80;-80
21:14:16.406;-36;-55;-80;-80;-80;-80;-80;-80
21:14:16.656;-37;-55.5;-80;-80;-80;-80;-80;-80
21:14:16.906;-34;-56.5;-80;-80;-80;-80;-80;-80
21:14:17.156;-36.5;-57;-80;-80;-80;-80;-80;-80
21:14:17.406;-36.5;-56.5;-80;-80;-80;-80;-80;-80
21:14:17.656;-36;-56.5;-80;-80;-80;-80;-80;-80
21:14:18.156;-33.5;-60.5;-80;-80;-80;-80;-80;-80
21:14:18.406;-33.5;-55.5;-80;-80;-80;-80;-80;-80
21:14:18.656;-36;-56;-80;-80;-80;-80;-80;-80
21:14:18.906;-34;-56.5;-80;-80;-80;-80;-80;-80
21:14:19.156;-33.5;-54.5;-80;-80;-80;-80;-80;-80
21:14:19.406;-36.5;-55;-80;-80;-80;-80;-80;-80
21:14:19.656;-36.5;-56.5;-80;-80;-80;-80;-80;-80
21:14:19.921;-36.5;-80;-80;-80;-80;-80;-80;-80
21:14:20.421;-36;-54;-80;-80;-80;-80;-80;-80
21:14:20.656;-33.5;-54.5;-60;-80;-80;-80;-80;-80
21:14:20.921;-36;-80;-80;-80;-80;-80;-80;-80
21:14:21.406;-36.5;-57.5;-80;-80;-80;-80;-80;-80
21:14:21.656;-34;-80;-80;-80;-80;-80;-80;-80
21:14:21.906;-33.5;-80;-59;-80;-80;-80;-80;-80
21:14:22.156;-36.5;-80;-80;-80;-80;-80;-80;-80
21:14:22.421;-33.5;-80;-80;-80;-80;-80;-80;-80
21:14:22.656;-36;-57;-80;-80;-80;-80;-80;-80
21:14:22.906;-36;-54.5;-80;-80;-80;-80;-80;-80
21:14:23.656;-36.5;-55;-80;-80;-80;-80;-80;-80
21:14:23.906;-36;-54.5;-80;-80;-80;-80;-80;-80
21:14:24.671;-36;-57;-80;-80;-80;-80;-80;-80
21:14:24.921;-36.5;-57.5;-80;-80;-80;-80;-80;-80
21:14:25.171;-34;-56.5;-80;-80;-80;-80;-80;-80
21:14:25.406;-36;-56.5;-80;-80;-80;-80;-80;-80
21:14:25.906;-34;-56;-80;-80;-80;-80;-80;-80
21:14:26.156;-36.5;-56.5;-80;-80;-80;-80;-80;-80
21:14:26.406;-36;-56;-80;-80;-80;-80;-80;-80
21:14:26.656;-36;-55;-80;-80;-80;-80;-80;-80
21:14:26.906;-36;-53.5;-80;-80;-80;-80;-80;-80
21:14:27.156;-34;-54;-80;-80;-80;-80;-80;-80
21:14:27.406;-36;-57.5;-80;-80;-80;-80;-80;-80
21:14:27.656;-36.5;-56.5;-80;-80;-80;-80;-80;-80
21:14:27.906;-36;-55.5;-80;-80;-80;-80;-80;-80
21:14:28.156;-34;-52;-80;-80;-80;-80;-80;-80
21:14:28.406;-36;-56;-80;-80;-80;-80;-80;-80
21:14:28.656;-33.5;-55.5;-80;-80;-80;-80;-80;-80
21:14:28.906;-36;-57;-80;-80;-80;-80;-80;-80
21:14:29.671;-36.5;-56;-80;-80;-80;-80;-80;-80
21:14:29.921;-34;-55.5;-80;-80;-80;-80;-80;-80
21:14:30.406;-36.5;-55;-80;-80;-80;-80;-80;-80
21:14:31.406;-34;-55;-80;-80;-80;-80;-80;-80
21:14:31.656;-36;-57;-80;-80;-80;-80;-80;-80
21:14:31.921;-36.5;-56.5;-80;-80;-80;-80;-80;-80
21:14:32.171;-33.5;-55;-80;-80;-80;-80;-80;-80
21:14:32.406;-34;-58.5;-80;-80;-80;-80;-80;-80
21:14:32.656;-34;-80;-80;-80;-80;-80;-80;-80
21:14:32.906;-34;-56.5;-80;-80;-80;-80;-80;-80
