Distance_Angle;XP;Theory;Delta
5_0;-31.73;-50.850958571268734;19.120958571268734
15_0;-31.175;-70.91886980345363;39.743869803453634
25_0;-35.305;-80.24991714253747;44.94491714253747
40_0;-35.205;-88.83528543651762;53.630285436517624
60_0;-41.8;-96.24175438028622;54.44175438028623
80_0;-47.79;-101.49672772493392;53.70672772493392
100_0;-48.43;-105.57280171937008;57.14280171937008
120_0;-49.07;-108.90319666870252;59.83319666870252
140_0;-50.405;-111.71900547683511;61.314005476835106
160_0;-52.805;-114.15817001335022;61.353170013350216
180_0;-59.69767441860465;-116.30966561247112;56.61199119386647
200_0;-56.515;-118.23424400778636;61.71924400778636
5_23;-35.26;-48.82975636941529;13.569756369415295
15_23;-36.91;-68.10001682944721;31.190016829447217
25_23;-51.13;-77.06017768069971;25.930177680699707
40_23;-49.27;-85.3042984193325;36.034298419332494
60_23;-62.195;-92.41637819605869;30.221378196058687
80_23;-64.24;-97.46247910263824;33.222479102638246
100_23;-63.37;-101.3765390473112;38.0065390473112
120_23;-66.07;-104.57455887936442;38.504558879364424
140_23;-61.435;-107.2784461205708;45.8434461205708
160_23;-69.25;-109.62065978594397;40.37065978594397
180_23;-66.45;-111.68663865609061;45.236638656090605
200_23;-68.60144927536231;-113.53471973061691;44.9332704552546
5_45;-41.56;-43.40400810342452;1.844008103424521
15_45;-40.74;-60.53304177778078;19.79304177778078
25_45;-45.515;-68.49758887184214;22.98258887184214
40_45;-55.565;-75.82565908866088;20.260659088660887
60_45;-58.14;-82.14747576793836;24.00747576793836
80_45;-58.285;-86.63287608373967;28.347876083739678
100_45;-64.595;-90.11202286199973;25.517022861999735
120_45;-63.475;-92.95469276301715;29.479692763017148
140_45;-62.635;-95.35813591846113;32.72313591846113
160_45;-71.0;-97.44009307881846;26.440093078818464
180_45;-70.16666666666667;-99.27650944229462;29.109842775627953
200_45;-73.44444444444444;-100.91923985707851;27.474795412634066
5_90;-27.41;-25.425479285634367;-1.9845207143656332
15_90;-44.615;-35.459434901726816;-9.155565098273186
25_90;-50.485;-40.124958571268735;-10.360041428731265
40_90;-53.64;-44.41764271825881;-9.22235728174119
60_90;-54.685;-48.12087719014311;-6.56412280985689
80_90;-56.08333333333334;-50.74836386246696;-5.334969470866383
100_90;-60.0;-52.78640085968504;-7.213599140314962
120_90;-76.0;-54.45159833435126;-21.54840166564874
140_90;-76.5;-55.859502738417554;-20.640497261582446
160_90;-77.0;-57.07908500667511;-19.920914993324892
